GP,Driver,Team,Stint,Compound,TyreLife,LapNumber,LapTime_sec,Sector1Time_sec,Sector2Time_sec,Sector3Time_sec,FreshTyre,LongRunID,CleanLapCount
R01_Australia,BEA,Haas F1 Team,2.0,HARD,22.0,40.0,86.988,31.001,18.417,37.57,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,23.0,41.0,85.049,30.227,17.895,36.927,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,24.0,42.0,84.503,29.878,17.797,36.828,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,25.0,43.0,84.549,29.93,17.826,36.793,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,26.0,44.0,84.612,29.765,17.929,36.918,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,27.0,45.0,84.13,29.72,17.84,36.57,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,28.0,46.0,84.55,29.882,17.845,36.823,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,29.0,47.0,84.76,30.001,17.883,36.876,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,30.0,48.0,84.404,29.64,17.866,36.898,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,31.0,49.0,84.281,29.732,17.826,36.723,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,32.0,50.0,84.467,29.811,17.831,36.825,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,33.0,51.0,84.233,29.84,17.83,36.563,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,34.0,52.0,84.264,29.794,17.777,36.693,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,35.0,53.0,84.615,29.699,17.937,36.979,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,36.0,54.0,84.61,29.965,17.876,36.769,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,37.0,55.0,84.5,29.725,17.93,36.845,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,38.0,56.0,86.439,29.768,17.858,38.813,True,R01_Australia_BEA_S2,36
R01_Australia,BEA,Haas F1 Team,2.0,HARD,39.0,57.0,86.649,30.005,17.905,38.739,True,R01_Australia_BEA_S2,36
R01_Australia,BOR,Audi,1.0,MEDIUM,2.0,2.0,87.538,31.092,18.428,38.018,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,3.0,3.0,86.324,30.546,18.125,37.653,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,4.0,4.0,86.032,30.416,18.415,37.201,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,5.0,5.0,86.327,30.512,17.836,37.979,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,6.0,6.0,87.463,31.563,18.038,37.862,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,7.0,7.0,85.785,30.465,17.945,37.375,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,8.0,8.0,85.47,30.114,17.925,37.431,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,9.0,9.0,85.224,30.146,17.839,37.239,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,10.0,10.0,85.561,30.476,17.834,37.251,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,14.0,14.0,85.958,31.023,17.824,37.111,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,15.0,15.0,84.819,29.86,17.908,37.051,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,16.0,16.0,84.98,29.821,17.96,37.199,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,1.0,MEDIUM,17.0,17.0,85.061,29.831,18.092,37.138,True,R01_Australia_BOR_S1,13
R01_Australia,BOR,Audi,2.0,HARD,2.0,20.0,85.201,29.953,18.498,36.75,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,3.0,21.0,85.044,29.937,18.308,36.799,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,4.0,22.0,84.428,29.747,18.079,36.602,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,5.0,23.0,84.335,29.835,17.95,36.55,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,6.0,24.0,84.327,29.815,18.001,36.511,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,7.0,25.0,84.37,29.685,18.019,36.666,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,8.0,26.0,84.533,29.804,18.015,36.714,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,9.0,27.0,84.535,29.947,17.963,36.625,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,10.0,28.0,84.44,29.912,18.051,36.477,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,11.0,29.0,84.694,29.861,18.058,36.775,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,12.0,30.0,84.364,29.865,17.935,36.564,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,13.0,31.0,84.153,29.79,17.858,36.505,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,2.0,HARD,14.0,32.0,83.978,29.576,17.889,36.513,True,R01_Australia_BOR_S2,13
R01_Australia,BOR,Audi,3.0,HARD,2.0,35.0,83.954,29.405,18.24,36.309,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,3.0,36.0,83.655,29.478,17.963,36.214,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,4.0,37.0,83.732,29.506,17.848,36.378,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,5.0,38.0,85.119,29.421,17.884,37.814,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,6.0,39.0,84.83,30.093,18.191,36.546,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,7.0,40.0,84.696,29.516,18.522,36.658,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,8.0,41.0,84.47,29.94,18.115,36.415,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,9.0,42.0,83.803,29.508,17.946,36.349,True,R01_Australia_BOR_S3,23
R01_Australia,BOR,Audi,3.0,HARD,10.0,43.0,83.643,29.475,17.879,36.289,True,R01_Australia_BOR_S3,23
